date_order;date_invoice;product_id;client_id;sales_net;quantity;order_channel;branch_id
2019-04-03;2019-04-03;117232;1980634;244.743;5;at the store;4157
2018-06-18;2018-06-28;607144;1839385;58.6224;3;by phone;8083
2018-12-03;2018-12-03;1741706;1475859;135.1572;3;at the store;10126
2018-10-01;2018-10-01;3046162;865784;139.748;155;by phone;2310
2019-01-17;2019-01-29;1798114;2153792;-29.05564444444445;19;at the store;4280
2019-02-21;2019-02-22;1812521;1753552;5161.2;17;by phone;245
2019-02-12;2019-02-12;1895362;802673;-3.128000000000001;17;at the store;3212
2018-01-08;2018-01-08;125737;554907;80.70930000000001;9;online;3417
2018-11-08;2018-11-08;1007408;220467;43.73335;17;at the store;3974
2018-08-30;2018-09-05;1057005;254713;26.358000000000004;3;by phone;3318
2018-07-05;2018-07-05;1502515;2166007;269.73746800000004;1001;by phone;10261
2018-09-07;2019-08-23;1993908;979325;-691.6560000000002;3;by phone;9699
2019-03-13;2019-03-13;268856;678794;21.2796;3;online;1576
2018-01-29;2018-02-09;2919122;1587101;31.8504;3;by phone;3054
2017-11-13;2017-11-13;818606;1933156;73.77480000000001;11;at the store;9206
2017-12-19;2017-12-19;123753;2118587;51.81624;21;at the store;1283
2019-03-25;2019-04-18;2424330;813686;29.15173333333333;7;online;4080
2018-07-23;2018-07-25;2564840;682353;366.06763200000006;201;at the store;9280
2018-10-10;2018-10-10;2874396;1027147;108.3024;3;at the store;8585
2019-05-13;2019-05-23;2253214;1756440;0.0;3;by phone;2472
